"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 04, 2016","215.94","217.16","217.40","215.23","3.32M","-0.44%"
"Oct 03, 2016","216.89","217.03","217.27","216.26","4.76M","-0.31%"
"Sep 30, 2016","217.56","216.88","218.35","216.60","3.95M","0.75%"
"Sep 29, 2016","215.94","217.64","218.10","215.28","3.91M","-0.90%"
"Sep 28, 2016","217.90","217.07","218.03","215.95","2.14M","0.53%"
"Sep 27, 2016","216.76","215.26","216.90","214.84","3.25M","0.61%"
"Sep 26, 2016","215.45","216.25","216.46","215.24","3.03M","-1.33%"
"Sep 23, 2016","218.35","219.06","219.21","218.23","2.48M","-0.52%"
"Sep 22, 2016","219.50","219.36","219.88","219.06","4.36M","0.61%"
"Sep 21, 2016","218.16","216.55","218.36","215.76","4.11M","1.12%"
"Sep 20, 2016","215.75","216.71","216.91","215.69","2.01M","0.01%"
"Sep 19, 2016","215.73","216.49","217.21","215.34","2.09M","0.05%"
"Sep 16, 2016","215.62","215.78","216.00","214.87","5.06M","-0.42%"
"Sep 15, 2016","216.52","214.14","216.97","213.96","3.42M","1.01%"
"Sep 14, 2016","214.35","214.53","215.93","213.71","4.22M","-0.06%"
"Sep 13, 2016","214.47","216.05","216.37","213.75","6.52M","-1.45%"
"Sep 12, 2016","217.63","213.59","218.06","213.54","5.11M","1.44%"
"Sep 09, 2016","214.54","218.27","218.28","214.48","7.34M","-2.40%"
"Sep 08, 2016","219.81","219.89","220.22","219.43","3.04M","-0.24%"
"Sep 07, 2016","220.33","220.12","220.48","219.58","3.67M","-0.02%"
"Sep 06, 2016","220.37","219.95","220.37","219.12","3.36M","0.34%"
"Sep 02, 2016","219.63","219.70","220.14","218.98","2.30M","0.44%"
"Sep 01, 2016","218.67","218.64","218.99","217.28","3.25M","0.01%"
"Aug 31, 2016","218.65","218.89","219.01","217.73","2.53M","-0.28%"
"Aug 30, 2016","219.26","219.55","219.82","218.61","1.55M","-0.15%"
"Aug 29, 2016","219.60","218.71","219.91","218.64","1.58M","0.48%"
"Aug 26, 2016","218.56","219.16","220.39","217.50","4.31M","-0.18%"
"Aug 25, 2016","218.95","218.66","219.45","218.48","4.89M","-0.10%"
"Aug 24, 2016","219.17","220.06","220.17","218.64","1.53M","-0.47%"
"Aug 23, 2016","220.21","220.51","220.88","220.16","1.70M","0.21%"
"Aug 22, 2016","219.75","219.55","220.06","219.09","1.14M","-0.03%"
"Aug 19, 2016","219.82","219.59","220.01","219.00","1.66M","-0.15%"
"Aug 18, 2016","220.16","219.60","220.16","219.48","1.89M","0.23%"
"Aug 17, 2016","219.65","219.27","219.79","218.28","2.90M","0.18%"
"Aug 16, 2016","219.25","219.86","219.93","219.23","2.99M","-0.51%"
"Aug 15, 2016","220.37","220.15","220.76","220.15","1.34M","0.30%"
"Aug 12, 2016","219.71","219.56","219.97","219.26","1.56M","-0.08%"
"Aug 11, 2016","219.89","219.54","220.20","219.21","1.79M","0.46%"
"Aug 10, 2016","218.88","219.60","219.67","218.47","2.78M","-0.25%"
"Aug 09, 2016","219.42","219.42","220.01","219.06","1.67M","0.06%"
"Aug 08, 2016","219.28","219.66","219.78","219.00","1.58M","-0.05%"
"Aug 05, 2016","219.40","218.51","219.48","218.33","3.35M","0.79%"
"Aug 04, 2016","217.67","217.56","218.02","217.07","2.14M","0.09%"
"Aug 03, 2016","217.47","216.73","217.48","216.39","2.45M","0.30%"
"Aug 02, 2016","216.83","217.91","218.07","215.81","4.84M","-0.59%"
"Aug 01, 2016","218.12","218.47","218.90","217.65","3.69M","-0.11%"
"Jul 29, 2016","218.37","217.72","218.79","217.38","3.09M","0.15%"
"Jul 28, 2016","218.04","217.52","218.37","217.00","1.84M","0.12%"
"Jul 27, 2016","217.78","218.42","218.51","216.88","4.74M","-0.10%"
"Jul 26, 2016","218.00","217.82","218.42","217.00","3.09M","0.04%"
"Jul 25, 2016","217.91","218.24","218.31","217.22","1.70M","-0.26%"
"Jul 22, 2016","218.47","217.65","218.56","217.35","4.73M","0.44%"
"Jul 21, 2016","217.52","218.19","218.47","216.99","1.79M","-0.36%"
"Jul 20, 2016","218.31","217.99","218.60","217.47","1.84M","0.42%"
"Jul 19, 2016","217.39","217.18","217.46","216.88","1.89M","-0.11%"
"Jul 18, 2016","217.63","217.17","217.86","216.90","4.11M","0.28%"
"Jul 15, 2016","217.03","218.02","218.05","216.54","3.69M","-0.15%"
"Jul 14, 2016","217.35","217.63","217.91","216.90","5.34M","0.55%"
"Jul 13, 2016","216.16","216.67","216.69","215.59","3.85M","-0.01%"
"Jul 12, 2016","216.18","215.77","216.53","215.49","4.71M","0.70%"
"Jul 11, 2016","214.67","214.42","215.28","214.18","3.29M","0.38%"
"Jul 08, 2016","213.86","212.24","214.15","212.00","3.21M","1.52%"
"Jul 07, 2016","210.66","211.07","211.84","209.84","3.49M","-0.09%"
"Jul 06, 2016","210.84","209.02","210.99","208.25","6.27M","0.57%"
"Jul 05, 2016","209.64","210.14","210.27","208.90","6.21M","-0.71%"
"Jul 01, 2016","211.13","210.55","211.69","210.54","4.74M","0.30%"
"Jun 30, 2016","210.50","208.41","210.72","207.74","6.03M","1.30%"
"Jun 29, 2016","207.80","206.01","208.10","205.89","7.24M","1.67%"
"Jun 28, 2016","204.38","202.64","204.38","202.26","7.08M","1.87%"
"Jun 27, 2016","200.63","202.75","202.77","199.79","8.05M","-1.89%"
"Jun 24, 2016","204.49","204.83","208.06","203.88","15.21M","-3.54%"
"Jun 23, 2016","212.00","210.99","212.02","210.46","2.72M","1.30%"
"Jun 22, 2016","209.27","209.82","210.69","209.11","3.12M","-0.17%"
"Jun 21, 2016","209.62","209.47","210.07","208.96","2.71M","-0.20%"
"Jun 20, 2016","210.04","210.99","211.79","209.91","4.40M","0.66%"
"Jun 17, 2016","208.66","209.32","209.38","207.90","3.65M","-0.38%"
"Jun 16, 2016","209.45","207.81","209.66","206.65","3.75M","0.33%"
"Jun 15, 2016","208.77","209.63","210.44","208.60","3.85M","-0.18%"
"Jun 14, 2016","209.14","209.12","209.83","208.00","4.76M","-0.18%"
"Jun 13, 2016","209.52","210.48","211.48","209.44","3.66M","-0.79%"
"Jun 10, 2016","211.19","211.58","211.97","210.54","3.25M","-0.94%"
"Jun 09, 2016","213.20","212.62","213.35","212.32","2.15M","-0.12%"
"Jun 08, 2016","213.45","212.94","213.64","212.81","1.63M","0.32%"
"Jun 07, 2016","212.77","212.66","213.46","212.62","2.59M","0.12%"
"Jun 06, 2016","212.52","211.82","212.88","211.62","2.98M","0.55%"
"Jun 03, 2016","211.35","211.34","211.80","209.98","3.33M","-0.33%"
"Jun 02, 2016","212.06","210.91","212.06","210.33","3.65M","0.33%"
"Jun 01, 2016","211.37","210.25","211.58","209.99","2.87M","0.19%"
"May 31, 2016","210.97","211.66","211.80","210.27","3.59M","-0.16%"
"May 27, 2016","211.30","210.61","211.31","210.56","2.49M","0.41%"
"May 26, 2016","210.43","210.56","210.81","210.05","2.02M","0.04%"
